City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
158,Ilebo,CD,2021-03-23 15:46:44,-4.3167,20.5833,81.01,70,100,0.89
159,Kautokeino,NO,2021-03-23 15:46:45,69.0125,23.0412,28.54,82,65,27.67
160,Te Anau,NZ,2021-03-23 15:46:45,-45.4167,167.7167,53.11,93,98,2.19
161,Lorengau,PG,2021-03-23 15:46:46,-2.0226,147.2712,80.6,77,99,3.06
162,Ayagoz,KZ,2021-03-23 15:46:46,47.9714,80.4392,37.49,76,56,15.93
163,Porto Novo,BJ,2021-03-23 15:46:46,6.4965,2.6036,73.4,94,40,14.97
164,Knysna,ZA,2021-03-23 15:46:47,-34.0363,23.0471,71.6,73,20,16.11
165,Vila Franca Do Campo,PT,2021-03-23 15:46:47,37.7167,-25.4333,55.4,88,75,19.57
166,Bubaque,GW,2021-03-23 15:46:48,11.2833,-15.8333,77.76,60,48,14.63
167,Walvis Bay,NA,2021-03-23 15:46:48,-22.9575,14.5053,77.0,53,20,12.66
168,Adrar,MR,2021-03-23 15:46:48,20.5022,-10.0711,91.22,9,1,5.68
169,Hithadhoo,MV,2021-03-23 15:46:49,-0.6,73.0833,83.91,67,6,7.16
170,Pisco,PE,2021-03-23 15:46:49,-13.7,-76.2167,72.0,78,0,8.05
171,Vila Velha,BR,2021-03-23 15:46:42,-20.3297,-40.2925,86.0,70,20,9.22
172,Nuuk,GL,2021-03-23 15:46:49,64.1835,-51.7216,10.4,67,75,6.91
173,Smithers,CA,2021-03-23 15:45:04,54.7804,-127.1743,32.0,80,90,3.44
174,Leningradskiy,RU,2021-03-23 15:46:50,69.3833,178.4167,-6.02,91,100,6.62
175,Mackenzie,CA,2021-03-23 15:45:04,55.2999,-123.1698,28.4,80,90,8.05
176,Maceio,BR,2021-03-23 15:46:50,-9.6658,-35.7353,75.2,94,75,12.66
177,Conceicao Da Barra,BR,2021-03-23 15:46:51,-18.5933,-39.7322,87.66,51,16,9.31
178,Ukiah,US,2021-03-23 15:45:02,39.1502,-123.2078,42.01,87,1,2.77
179,Fuerte Olimpo,PY,2021-03-23 15:46:52,-21.0415,-57.8738,97.07,38,36,1.1
180,Papillion,US,2021-03-23 15:46:52,41.1544,-96.0422,50.0,93,90,6.91
181,Middlebury,US,2021-03-23 15:45:01,44.0153,-73.1673,59.0,26,1,3.44
182,Fallon,US,2021-03-23 15:46:53,39.4735,-118.7774,33.8,75,40,12.66
183,Praia Da Vitoria,PT,2021-03-23 15:46:53,38.7333,-27.0667,59.0,58,75,13.87
184,East London,ZA,2021-03-23 15:44:11,-33.0153,27.9116,71.6,68,20,17.27
